epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.276,2.30075,3.74072,1.44825,0.76218,0.67395,0.77442,0.33196,1.91431,1.55202,1.26155,0.000332836,0.000332836,0.000332836
2,433.963,1.89515,1.65905,1.22094,0.85755,0.79899,0.87416,0.39315,1.82958,1.11661,1.23762,0.000652979,0.000652979,0.000652979
3,642.527,1.83496,1.31743,1.19951,0.94937,0.8655,0.93323,0.44545,1.71789,0.9692,1.18058,0.000959922,0.000959922,0.000959922
4,850.343,1.77654,1.17091,1.17661,0.93469,0.90252,0.94184,0.44545,1.75129,0.90635,1.19291,0.0009406,0.0009406,0.0009406
5,1059.98,1.74585,1.10148,1.16084,0.95544,0.8947,0.94634,0.45153,1.7466,0.86639,1.18484,0.0009208,0.0009208,0.0009208
6,1268.29,1.7153,1.03235,1.1475,0.95419,0.92983,0.95766,0.45954,1.74689,0.84184,1.17883,0.000901,0.000901,0.000901
7,1480.01,1.70363,0.99532,1.13777,0.95171,0.9268,0.95759,0.48109,1.67805,0.80788,1.15371,0.0008812,0.0008812,0.0008812
8,1689.7,1.68256,0.95414,1.13005,0.94586,0.93555,0.96497,0.48406,1.69114,0.78294,1.15509,0.0008614,0.0008614,0.0008614
9,1899.66,1.66789,0.92277,1.12527,0.96621,0.93444,0.97039,0.50412,1.64808,0.75133,1.14286,0.0008416,0.0008416,0.0008416
10,2112.03,1.66341,0.9103,1.12086,0.96309,0.9475,0.97163,0.49944,1.65997,0.72888,1.13885,0.0008218,0.0008218,0.0008218
11,2325.93,1.63881,0.88747,1.11723,0.96883,0.9467,0.97254,0.50698,1.63941,0.72266,1.13405,0.000802,0.000802,0.000802
12,2539.58,1.63297,0.86558,1.10952,0.95647,0.95398,0.97206,0.51202,1.63182,0.70459,1.12924,0.0007822,0.0007822,0.0007822
13,2752.25,1.6187,0.856,1.10603,0.97324,0.95356,0.97709,0.51087,1.65319,0.69059,1.13637,0.0007624,0.0007624,0.0007624
14,2962.32,1.61431,0.83776,1.10325,0.97115,0.95203,0.97483,0.51188,1.62799,0.68474,1.12751,0.0007426,0.0007426,0.0007426
15,3176.98,1.60294,0.81849,1.10175,0.96385,0.95657,0.97396,0.5172,1.62447,0.67677,1.12509,0.0007228,0.0007228,0.0007228
16,3387.23,1.58621,0.79882,1.09354,0.96878,0.96588,0.97888,0.52639,1.60194,0.65728,1.12186,0.000703,0.000703,0.000703
17,3596.74,1.57885,0.78758,1.08659,0.97062,0.96175,0.97695,0.51489,1.63375,0.6576,1.13432,0.0006832,0.0006832,0.0006832
18,3807.08,1.57131,0.78364,1.08857,0.97067,0.96424,0.97951,0.52745,1.59483,0.64485,1.11194,0.0006634,0.0006634,0.0006634
19,4016.36,1.56593,0.77133,1.085,0.9719,0.96696,0.98026,0.53076,1.58836,0.64004,1.11258,0.0006436,0.0006436,0.0006436
20,4224.97,1.55351,0.76077,1.0802,0.97576,0.9716,0.98294,0.5374,1.57604,0.62473,1.10707,0.0006238,0.0006238,0.0006238
21,4430.66,1.53741,0.74983,1.07701,0.97189,0.97264,0.98163,0.53352,1.58105,0.61475,1.10828,0.000604,0.000604,0.000604
22,4640.46,1.53323,0.74439,1.0741,0.97319,0.97045,0.98084,0.54391,1.57019,0.61765,1.10481,0.0005842,0.0005842,0.0005842
23,4852.49,1.52891,0.74096,1.06977,0.96976,0.97701,0.98411,0.54434,1.56504,0.60408,1.10434,0.0005644,0.0005644,0.0005644
24,5062.15,1.51815,0.72153,1.06812,0.97716,0.9731,0.98402,0.54125,1.5719,0.60794,1.10359,0.0005446,0.0005446,0.0005446
25,5270.23,1.49621,0.71136,1.06391,0.97565,0.97298,0.98331,0.53617,1.57711,0.60377,1.10426,0.0005248,0.0005248,0.0005248
